storm_id,start,end,peak_date,peak_mm,total_mm,days,observed,grade,lag_hours,rel_orbit,obs_kst,acquisition_reliability,status,next_pass_kst,next_pass_orbit,next_pass_lag_hours,reason
S20250920,2025-09-20,2025-09-22,2025-09-20,52.1,52.2,3,True,B,51.5,127.0,2025-09-22 18:31,0.87,observed_late,,,,peak +52시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20250928,2025-09-28,2025-09-28,2025-09-28,31.7,31.7,1,True,C,147.5,127.0,2025-10-04 18:31,0.87,observed_late,,,,peak +148시간 — 사건을 놓친 관측. 현장조사 필요
S20251016,2025-10-16,2025-10-18,2025-10-16,24.9,58.3,3,True,A,3.5,127.0,2025-10-16 18:31,0.87,observed_good,,,,peak +4시간 — 침수 범위 판정 신뢰 가능
S20260520,2026-05-20,2026-05-22,2026-05-20,49.8,58.2,3,False,C,,,,,missed,2026-09-07 06:31,134.0,2631.5,peak 이후 10일 안에 충남 전체커버 관측 없음 — 현장조사 외 확인수단 없음
S20260620,2026-06-20,2026-06-21,2026-06-20,44.2,44.2,2,True,C,159.5,134.0,2026-06-27 06:31,0.63,observed_late,,,,peak +160시간 — 사건을 놓친 관측. 현장조사 필요
S20260709,2026-07-08,2026-07-11,2026-07-09,52.3,108.8,4,True,C,123.5,127.0,2026-07-14 18:31,0.87,observed_late,,,,peak +124시간 — 사건을 놓친 관측. 현장조사 필요
S20260722,2026-07-22,2026-07-23,2026-07-22,24.0,34.9,2,False,C,,,,,missed,2026-09-07 06:31,134.0,1119.5,peak 이후 10일 안에 충남 전체커버 관측 없음 — 현장조사 외 확인수단 없음
S20260817,2026-08-17,2026-08-17,2026-08-17,13.3,13.3,1,True,C,207.5,134.0,2026-08-26 06:31,0.63,observed_late,,,,peak +208시간 — 사건을 놓친 관측. 현장조사 필요
S20260821,2026-08-21,2026-08-23,2026-08-21,33.3,54.7,3,True,B,111.5,134.0,2026-08-26 06:31,0.63,observed_late,,,,peak +112시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20260831,2026-08-28,2026-09-02,2026-08-31,100.2,206.3,6,False,C,,,,,pending,2026-09-07 06:31,134.0,159.5,아직 관측 전 — 다음 통과 대기
