date,천안시 동남구,천안시 서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
2025-08-06,9.1,10.7,13.4,10.7,7.3,9.7,13.8,8.1,8.9,8.6,8.9,3.1,10.3,12.0,11.7,10.8
2025-08-07,0.4,0.7,0.2,1.2,1.1,0.2,1.4,1.3,0.2,1.6,0.1,0.5,0.4,0.4,0.8,0.0
2025-08-08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0
2025-08-09,3.2,6.4,1.8,2.1,5.2,9.2,2.6,2.5,8.1,2.2,2.5,4.6,2.3,3.0,3.0,7.3
2025-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-11,7.3,6.9,7.5,6.9,8.7,4.3,9.1,8.2,6.0,6.6,10.1,9.0,6.5,6.3,6.9,3.1
2025-08-12,0.2,0.1,0.2,0.0,0.0,0.0,0.5,0.3,0.0,2.1,0.1,0.2,0.1,0.0,0.0,0.0
2025-08-13,11.4,14.2,7.4,10.7,12.8,27.4,11.3,7.4,22.2,9.6,5.6,5.2,7.6,12.6,11.9,24.2
2025-08-14,21.2,17.1,13.3,12.0,15.5,28.4,5.2,4.9,22.7,0.9,2.0,2.0,5.5,9.5,20.7,21.5
2025-08-15,2.2,8.2,1.8,3.6,6.0,0.8,1.5,1.1,6.3,1.1,2.2,3.7,2.8,3.8,2.3,1.2
2025-08-16,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.1,0.8,0.0,0.1,0.2,0.0,0.0,0.0,3.0
2025-08-17,0.4,0.4,0.8,0.7,0.4,2.1,0.5,1.1,3.1,0.0,1.6,3.5,1.2,1.4,0.7,0.9
2025-08-18,3.9,0.6,1.9,2.4,0.5,0.6,0.5,0.1,0.7,0.0,0.2,3.7,1.9,1.1,0.6,1.0
2025-08-19,1.4,2.9,2.6,5.8,0.6,1.4,2.1,1.9,1.8,1.1,1.5,5.5,1.9,1.9,1.3,3.5
2025-08-20,0.4,0.6,0.6,3.3,0.3,1.7,1.2,1.0,1.4,1.3,0.9,1.8,1.6,2.1,0.8,2.9
2025-08-21,1.0,0.1,0.5,0.1,1.2,0.6,0.4,0.2,1.4,0.7,0.4,0.1,2.2,0.5,0.6,0.8
2025-08-22,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2025-08-23,0.3,0.1,0.6,0.2,0.1,0.5,0.0,0.2,1.0,0.0,0.2,0.5,0.5,0.0,0.5,0.3
2025-08-24,0.2,0.5,0.0,0.0,0.0,0.3,0.0,0.8,0.4,0.3,0.3,0.3,0.0,0.0,0.0,0.5
2025-08-25,0.6,1.0,1.4,8.0,0.7,8.6,3.3,2.4,3.8,0.5,1.4,3.5,3.0,13.4,4.5,7.2
2025-08-26,22.5,26.8,38.6,51.3,30.4,30.7,37.7,21.9,30.2,2.2,48.4,18.3,38.7,44.9,50.4,20.9
2025-08-27,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2025-08-28,0.8,0.9,0.5,1.1,1.6,1.1,0.2,0.7,1.8,2.2,0.4,0.9,0.7,1.0,0.9,0.8
2025-08-29,0.4,0.6,0.7,3.2,0.3,4.6,1.2,0.6,3.5,0.0,0.5,5.3,0.6,3.2,1.0,4.0
2025-08-30,2.4,3.6,1.5,2.9,3.0,1.4,0.3,0.8,1.5,0.6,0.6,1.5,1.7,1.9,1.5,0.7
2025-08-31,0.6,0.5,0.9,3.6,2.9,3.6,1.0,1.2,2.9,4.0,2.0,5.4,1.0,1.0,0.4,1.3
