date,time_kst,rel_orbit,direction,sat,frames,coverage_pct,rain1d,rain3d,rain7d
2019-06-21,06:31,134,DESCENDING,S1B,1,99.9,0.1,0.4,1.7
2023-06-17,18:32,127,ASCENDING,S1A,1,100.0,0.0,0.4,8.3
2022-06-22,18:31,127,ASCENDING,S1A,1,100.0,0.1,0.4,1.9
2020-08-19,18:31,127,ASCENDING,S1A,1,100.0,0.0,0.3,4.3
2019-07-03,06:31,134,DESCENDING,S1B,1,99.9,0.0,0.3,22.9
2019-07-08,18:31,127,ASCENDING,S1A,1,100.0,0.0,0.2,0.3
2018-06-02,06:31,134,DESCENDING,S1B,1,99.9,0.0,0.0,3.0
2019-06-14,18:31,127,ASCENDING,S1A,1,100.0,0.0,0.0,9.4
2018-09-11,18:31,127,ASCENDING,S1A,1,100.0,0.0,0.0,7.0
2017-09-04,18:31,127,ASCENDING,S1A,1,100.0,0.0,0.0,4.4
2018-07-20,06:31,134,DESCENDING,S1B,1,99.9,0.0,0.0,0.0
2017-06-19,06:31,134,DESCENDING,S1B,1,99.9,0.0,0.0,0.1
2020-08-20,06:32,134,DESCENDING,S1A,2,99.2,0.0,0.0,3.5
2021-09-14,06:32,134,DESCENDING,S1B,1,99.9,0.0,0.0,1.6
2023-09-09,18:32,127,ASCENDING,S1A,1,100.0,0.0,0.0,5.4
